antecedent,consequent,support,confidence,lift,leverage,conviction
Garlic,Chicken,0.06,0.6923,7.9882,0.0525,2.9683
Chicken,Garlic,0.06,0.6923,7.9882,0.0525,2.9683
Cheese,Wine,0.1,0.8824,7.7855,0.0872,7.5367
Wine,Cheese,0.1,0.8824,7.7855,0.0872,7.5367
Honey,Tea,0.06,0.6429,7.4176,0.0519,2.5573
Tea,Honey,0.06,0.6923,7.4176,0.0519,2.9467
Sausage,Mustard,0.0667,0.5263,5.2632,0.054,1.9
Mustard,Sausage,0.0667,0.6667,5.2632,0.054,2.62
Yogurt,Granola,0.0667,0.5882,4.902,0.0531,2.1371
Granola,Yogurt,0.0667,0.5556,4.902,0.0531,1.995
Tomato,Olive Oil,0.0733,0.7857,4.7143,0.0578,3.8889
Olive Oil,Tomato,0.0733,0.44,4.7143,0.0578,1.619
Milk,Cereal,0.0867,0.4643,4.3527,0.0668,1.6676
Cereal,Milk,0.0867,0.8125,4.3527,0.0668,4.3378
Ground Beef,Tomato Sauce,0.0533,0.4706,4.1522,0.0405,1.6748
Tomato Sauce,Ground Beef,0.0533,0.4706,4.1522,0.0405,1.6748
Beer,Pretzels,0.0867,0.4815,3.6111,0.0627,1.6714
Pretzels,Beer,0.0867,0.65,3.6111,0.0627,2.3429
Chips,Beer,0.1,0.6,3.3333,0.07,2.05
Beer,Chips,0.1,0.5556,3.3333,0.07,1.875
Salsa,Chips,0.0867,0.52,3.12,0.0589,1.7361
Chips,Salsa,0.0867,0.52,3.12,0.0589,1.7361
Bacon,Eggs,0.0867,0.619,3.0952,0.0587,2.1
Eggs,Bacon,0.0867,0.4333,3.0952,0.0587,1.5176
Pasta,Olive Oil,0.06,0.4737,2.8421,0.0389,1.5833
Butter,Bread,0.0667,0.4348,2.8355,0.0432,1.4979
Bread,Butter,0.0667,0.4348,2.8355,0.0432,1.4979
Bread,Eggs,0.08,0.5217,2.6087,0.0493,1.6727
Coffee,Milk,0.0733,0.4583,2.4554,0.0435,1.5015
