,Eggs,Milk,Beer,Olive Oil,Chips,Salsa,Coffee,Bread,Butter,Bacon,Pretzels,Sausage
Eggs,20.0,3.3,0.7,2.7,0.7,2.0,2.7,8.0,2.7,8.7,0.7,2.7
Milk,3.3,18.7,3.3,1.3,2.7,2.7,7.3,0.7,0.7,3.3,2.7,2.7
Beer,0.7,3.3,18.0,0.7,10.0,4.0,2.0,2.7,2.7,2.7,8.7,0.7
Olive Oil,2.7,1.3,0.7,16.7,0.0,2.7,3.3,2.7,4.0,1.3,0.7,2.7
Chips,0.7,2.7,10.0,0.0,16.7,8.7,2.7,2.7,2.7,0.0,3.3,1.3
Salsa,2.0,2.7,4.0,2.7,8.7,16.7,2.0,3.3,3.3,1.3,2.7,1.3
Coffee,2.7,7.3,2.0,3.3,2.7,2.0,16.0,1.3,3.3,1.3,2.0,2.0
Bread,8.0,0.7,2.7,2.7,2.7,3.3,1.3,15.3,6.7,2.7,1.3,1.3
Butter,2.7,0.7,2.7,4.0,2.7,3.3,3.3,6.7,15.3,2.7,0.7,0.7
Bacon,8.7,3.3,2.7,1.3,0.0,1.3,1.3,2.7,2.7,14.0,2.7,1.3
Pretzels,0.7,2.7,8.7,0.7,3.3,2.7,2.0,1.3,0.7,2.7,13.3,0.0
Sausage,2.7,2.7,0.7,2.7,1.3,1.3,2.0,1.3,0.7,1.3,0.0,12.7
